id | matricula | qtd
  1 |  538134 |   1
  2 |  558788 |   1
  3 |  554593 |   3
  4 |  555523 |   2
  5 |  556027 |   2
  6 |  553635 |   1
  7 |  559033 |   1
  8 |  536699 |   1
  9 |  470646 |   1
 10 |  553782 |   1
 11 |  552882 |   1
 12 |  553382 |   1
 13 |  554929 |   1
 14 |  554590 |   2
 15 |  552493 |   3
 16 |  555426 |   2
 17 |  554047 |   3
 18 |  553972 |   1
 19 |  552990 |   2
 20 |  556287 |   1
 21 |  558311 |   1
 22 |  558314 |   1
 23 |  554323 |   1
 24 |  539616 |   1
 25 |  542056 |   1
 26 |  539029 |   1
 27 |  552752 |   1
